customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8098INRND,Female,0,No,No,48,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Credit card (automatic),88,452,No
8093RRHIH,Male,1,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),86,66,No
7125WQWKJ,Male,1,Yes,No,6,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,40,459,No
4274QHAWJ,Male,0,No,No,26,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No,Yes,Two year,No,Credit card (automatic),101,461,No
4309CTHYE,Male,0,Yes,No,24,No,No phone service,DSL,No,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),87,280,No
4302PXKAT,Male,1,No,Yes,45,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,105,896,Yes
9972YUGLA,Female,1,No,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,77,494,No
2105PNZNW,Male,1,No,Yes,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,54,716,Yes
1291MQNHW,Male,1,No,No,27,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),45,172,No
4985WHYCI,Female,1,No,No,46,Yes,No phone service,Fiber optic,Yes,No,No internet service,No,No internet service,No internet service,Month-to-month,No,Electronic check,78,768,No
7856MKFOT,Male,1,Yes,No,58,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No internet service,Two year,No,Electronic check,59,134,No
2375XZWEB,Male,1,No,Yes,31,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),64,326,Yes
3203COBSS,Female,0,No,Yes,26,No,No phone service,DSL,Yes,No internet service,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),64,602,Yes
4597FBJUB,Female,1,No,Yes,29,No,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),37,661,No
3388GGERR,Female,0,Yes,Yes,60,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,56,654,No
3370YPIUU,Male,1,No,No,16,No,No phone service,Fiber optic,No,No,No internet service,Yes,No,Yes,Two year,Yes,Mailed check,66,783,No
9441PAYUI,Male,0,Yes,Yes,4,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,Yes,One year,No,Mailed check,94,513,Yes
3935GYHUX,Female,1,No,No,13,No,No phone service,DSL,No internet service,No,No,Yes,No,No,Two year,Yes,Electronic check,54,477,Yes
7716WHMXG,Female,0,Yes,Yes,33,No,No phone service,Fiber optic,Yes,No,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,95,320,No
7252KNYYO,Male,0,No,No,30,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No,No internet service,Two year,No,Mailed check,61,229,No
6230WEQDC,Male,1,No,Yes,11,No,No phone service,DSL,Yes,No,Yes,No internet service,Yes,No,Two year,Yes,Electronic check,121,250,Yes
1067JRAPG,Male,1,Yes,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,33,640,Yes
